100,Python数据分析基础教程（第2版）,图灵程序设计丛书,6.5,46
99,PythonTextProcessingwithNLTK2.0Cookbook,JacobPerkins,7.4,11
98,Python网络编程攻略,图灵程序设计丛书,5.9,39
97,Learningscikit-learn:MachineLearninginPython,RaúlGarreta,7.3,17
96,Python机器学习算法,赵志勇,-1,-1
101,python绝技：运用python成为顶级黑客,安全技术大系,7.6,39
110,DataVisualizationwithPythonandJavaScript,KyranDale,-1,-1
114,PythonMachineLearning,SebastianRaschka,8.5,29
112,PythonPlayground,MaheshVenkitachalam,-1,-1
111,HighPerformancePython,AndrewLewis,-1,-1
107,Python机器学习,[美]MichaelBowles,7.0,11
108,PracticalDjangoProjects,JamesBennett,7.9,39
115,AByteofPython,SwaroopCH,8.7,1024
109,Cython,KurtW.Smith,8.6,11
113,"TheQuickPythonBook,SecondEdition",VernonL.Ceder,7.7,52
105,爱上Python,王磊,6.9,20
104,PythonforDataAnalysis,WesMcKinney,-1,-1
103,Python自然语言处理,(英)伯德,8.2,151
102,Python核心编程（第二版）,[美]WesleyJ·Chun,7.7,1424
119,算法图解,图灵程序设计丛书,8.1,184
117,FoundationsofProgrammingLanguages,KentD.Lee,-1,-1
118,DataWranglingWithPython,JacquelineKazil,-1,-1
116,DoingMathwithPython,AmitSaha,-1,-1
122,趣学Python编程,JasonBriggs,8.4,67
121,UnderstandingNetworkHacks:AttackandDefensewithPython,BastianBallmann,-1,-1
139,PythonforFinance,YuxingYan,-1,-1
138,MasteringPandasforFinance,MichaelHeydt,-1,-1
136,ThoughtfulMachineLearningwithPython,MatthewKirk,-1,-1
135,LearningOpenCV3ComputerVisionwithPython-SecondEdition,JoeMinichino,-1,-1
134,LearningRoboticsusingPython,LentinJoseph,-1,-1
140,MasteringFlask,JackStouffer,-1,-1
133,跟老齐学Python,齐伟编著,7.2,34
132,LargeScaleMachineLearningwithPython,BastiaanSjardin,-1,-1
131,Python语言在Abaqus中的应用,曹金凤,7.7,11
130,Python3ObjectOrientedProgramming,DustyPhillips,8.1,16
127,SQLAlchemy,MarkRamm,-1,-1
129,PythonandHDF5,AndrewCollette,-1,-1
128,BayesianAnalysiswithPython,OsvaldoMartin,-1,-1
126,ThinkPython,AllenB.Downey,8.7,31
125,PracticalDataScienceCookbook-Real-WorldDataScienceProjectstoHelpYouGetYourHandsOnYourData,TonyOjeda,-1,-1
123,LearningPython,FabrizioRomano,-1,-1
124,Python开发实战,[日]BePROUD股份有限公司,6.4,42
143,精通Python设计模式,[荷]SakisKasampalis,4.9,19
142,奔跑吧Ansible,LorinHochstein,7.0,32
141,Masteringmatplotlib,DuncanM.McGreggor,-1,-1
